gene_symbol,expected_direction,panel_role,locked_at,evidence_basis,notes
ISG15,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
RSAD2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CMPK2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
MX1,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
MX2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFIT1,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFIT2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFIT3,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
OAS1,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
OAS2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
OAS3,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
OASL,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFI44,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFI44L,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFI6,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFITM1,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
USP18,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DDX58,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFIH1,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HERC5,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
STAT1,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IRF7,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFI27,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
BST2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ISG20,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IRF9,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
STAT2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
EIF2AK2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
