method_id,method_family,public_summary_deg_status,can_run_from_current_public_files,current_pipeline_status,required_inputs,current_public_inputs_available,missing_or_nonfaithful_inputs,faithful_adapter_decision,manuscript_use,source_or_package,notes,corpus
degora_slice,DEGORA reference,native_public_summary_method,yes,run_ok,"study/source-unit, gene symbol, p-value or signed z, log2FC, optional sample sizes, optional quality metadata","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,native reference output; no external comparator adaptation needed,primary method,DEGORA repository implementation,ifn-pilot: public harmonized columns inspected=43.,ifn-pilot
weighted_stouffer,classical p-value/z method,summary_compatible,yes,run_ok,per-study signed z and sample-size weights,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,runnable as transparent Tier 0 baseline,classical comparator,SciPy norm.sf,Uses DEGORA's conservative source-unit collapsed signed z values.,ifn-pilot
fisher,classical p-value method,summary_compatible,yes,run_ok,per-study p-values,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,runnable as transparent Tier 0 baseline,classical comparator,SciPy combine_pvalues,Uses two-sided p-values recovered from signed z to avoid one-sided inflation.,ifn-pilot
robustrankaggreg,rank aggregation,summary_compatible_official,yes,run_ok,within-study ranked gene lists,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official R adapter emitted when package is installed,direct prior-art comparator,CRAN/RobustRankAggreg; version=1.2.1,Does not need raw expression; ranks are reconstructed from public DEG tables.,ifn-pilot
metavolcanor,p-value/effect meta-analysis,summary_compatible_official,yes,run_ok,"per-study gene, logFC, p-value tables","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official R adapter emitted when package is installed,direct prior-art comparator,Bioconductor/MetaVolcanoR; version=1.16.0,Uses MetaVolcanoR p-combination mode only; effect-size variance modes are not claimed.,ifn-pilot
awfisher,adaptive weighted p-value method,summary_compatible_official,yes,run_ok,gene-by-study p-value matrix,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official AWFisher adapter emitted when package is installed,direct prior-art comparator,Bioconductor/AWFisher; version=1.16.0,Missing study-gene entries are set to p=1; AWFisher returns adaptive study-contribution weights.,ifn-pilot
metarnaseq_fisher,RNA-seq p-value combination,summary_compatible_official,yes,run_ok,per-study p-value vectors,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official metaRNASeq fishercomb adapter emitted when package is installed,direct prior-art comparator,R-universe/CRAN metaRNASeq; version=1.0.8,Uses two-sided p_from_signed_z because public summary tables do not provide uniform one-sided p-values.,ifn-pilot
metarnaseq_invnorm,RNA-seq inverse-normal p-value combination,summary_compatible_official,yes_with_weight_proxy,run_ok,per-study p-value vectors and replicate-count weights,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",true per-study one-sided p-values are absent; source-unit sample-size weights are used where available,official metaRNASeq invnorm adapter emitted with documented weight proxy,direct prior-art comparator with caveat,R-universe/CRAN metaRNASeq; version=1.0.8,"Missing study-gene entries are set to neutral p=0.5 to avoid treating absent public-summary evidence as infinite inverse-normal evidence; if the official function returns an all-p=1/no-statistic result, DEGORA marks the comparator blocked instead of emitting alphabetical ranks.",ifn-pilot
rank_product_approx,rank aggregation approximation,summary_compatible_approximation,yes_as_approximation,run_ok,within-study normalized ranks,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",official RankProd replicate/origin inputs are not present,"keep as explicit approximation, not official RankProd",sensitivity comparator,DEGORA repository implementation,Useful because public DEG files often retain ranks but not replicate-level expression.,ifn-pilot
rankprod_exact,official rank product,blocked_for_public_summary_only,no,blocked:rankprod_exact_requires_expression_or_origin_labels,replicate-level expression or rank-product inputs with class/origin labels,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",raw expression/class labels/origin metadata; current R package also unavailable if RankProd preflight is missing,do not run from public DEG-only files,blocked comparator row,Bioconductor/RankProd; version=not installed,Prevents overclaiming that summary-rank approximation is the official package.,ifn-pilot
metade,microarray meta-analysis suite,partial_summary_coverage,partial,blocked:metade_effect_size_modes_require_variance_or_raw_expression,p-value matrices for p-value modes; effect sizes plus variances or raw expression for FEM/REM/effect-size modes,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",per-study effect variances and raw expression objects for non-p-value modes,p-value/rank concepts are covered by Fisher/Stouffer/AWFisher/rank baselines; effect-size modes blocked,blocked/covered comparator row,CRAN archive/MetaDE; version=not installed,Avoids double-counting MetaDE methods already represented by primitive p-value/rank comparators.,ifn-pilot
dexma,gene-expression meta-analysis workflow,blocked_for_public_summary_only,no,blocked:dexma_requires_expression_matrices_and_phenotype_metadata,expression matrices or GEO-derived expression objects plus phenotype/sample metadata,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","sample-level expression matrices, phenotype metadata, normalization/QC objects",do not run from already-filtered supplementary DEG tables,blocked comparator row,Bioconductor/DExMA; version=not installed,"DExMA is relevant for a future raw-expression benchmark, not the current public summary-file benchmark.",ifn-pilot
metaintegrator,signature meta-analysis,blocked_for_public_summary_only,no,blocked:metaintegrator_requires_expression_and_phenotype_objects,"study expression data, phenotype labels, effect sizes and variances","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",cohort-level expression and phenotype objects; comparable variance inputs,do not run from public DEG-only files,blocked comparator row,CRAN/MetaIntegrator; version=not installed,Useful reviewer-facing no-go row because it is a common expression-signature meta-analysis package.,ifn-pilot
hstouffer,RNA-seq Stouffer/REM workflow,blocked_for_public_summary_only,no,blocked:hstouffer_deg_table_materializer_blocked,"DESeq2-like full result tables with id, baseMean, log2FoldChange, lfcSE, stat, pvalue, padj","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","harmonized table lacks original DESeq2 fields required by hStouffer REM/filtering: baseMean, lfcSE, stat; signed_z is a harmonized p-derived surrogate and is not a pinned original DESeq2 stat column; included corpus contains non-DESeq2/unspecified pipeline rows: logCPM_Welch_derived_from_public_counts; source-level audit found studies without a compatible original DESeq2-like header or pipeline: IFN_GSE147507_NHBE_IFNB_12h, IFN_GSE147507_NHBE_IFNB_4h, IFN_GSE147507_NHBE_IFNB_6h, IFN_GSE221804_HUHWT_IFNA_24h, IFN_GSE221804_HUHWT_IFNA_2h, IFN_GSE221804_HUHWT_IFNA_4h, IFN_GSE221804_HUHWT_IFNA_8h",blocked until original compatible DESeq2-like files exist for every active source,blocked comparator row,https://github.com/CR4CKID/hStouffer@306e38c26919f19e7c3dfd6cd646005c502b3310,The feasibility JSON gives per-source header evidence.,ifn-pilot
awmeta,adaptive weighted effect-size meta-analysis,blocked_for_public_summary_only,no,blocked:awmeta_variance_inputs_missing,per-study effect sizes plus original within-study variance/SE or documented equivalent weights,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","AWmeta/AW-REM requires per-study effect-size variances, standard errors, or documented equivalent weights. The harmonized as-published DEG tables provide study_id, gene_symbol, lfc, and pvalue but no uniform variance/SE field; deriving SE from p-values/signed z-scores would be a non-faithful approximation across heterogeneous DEG pipelines.",blocked; never infer SE from p-values or signed z,blocked comparator row,CRAN/metafor; version=5.0-1,The feasibility JSON gives per-source variance/SE audit evidence.,ifn-pilot
gene_set_pathway_tools,pathway enrichment / gene-set methods,orthogonal_not_gene_rank_comparator,not_as_gene_level_comparator,out_of_scope,ranked full gene universe or expression matrix plus gene sets,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","these tools answer pathway-level enrichment, not gene-level cross-study ranking","report as orthogonal downstream analysis, not a replacement comparator for DEGORA gene ranking",scope guardrail,fgsea/GSEA/GSVA class methods,Include only if the manuscript adds a pathway endpoint.,ifn-pilot
omicc,public expression reuse / meta-analysis platform,workflow_level_public_expression_platform,not_from_current_deg_summary_files,workflow_or_resource_prior_art,"public expression studies, sample-group annotations, expression matrices, and OMiCC platform curation","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",sample-level expression matrices and phenotype/group labels are not present in already-filtered public DEG summary tables,cite and compare qualitatively as a public-expression reuse platform; do not treat as a same-input gene-rank comparator,workflow/resource prior art,OMiCC / MetaIntegrator / RankProd public expression platform,OMiCC supports public-data reuse and meta-analysis from expression studies; DEGORA instead starts from heterogeneous as-published DEG evidence rows.,ifn-pilot
imageo,GEO expression meta-analysis web workflow,workflow_level_geo_reanalysis_platform,not_from_current_deg_summary_files,workflow_or_resource_prior_art,"GEO dataset identifiers, platform expression matrices, sample labels, and GEO-derived preprocessing","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",already-filtered supplementary DEG tables do not contain the expression objects and sample metadata required by the ImaGEO workflow,cite and compare qualitatively; use as a contrast to DEGORA's as-published DEG-table operating regime,workflow/resource prior art,ImaGEO web tool,"ImaGEO is a GEO-starting workflow, while DEGORA is a summary-evidence ingestion and audit workflow.",ifn-pilot
networkanalyst,statistical/visual/network expression meta-analysis platform,workflow_level_expression_or_gene_table_platform,not_as_same_input_gene_rank_comparator,workflow_or_resource_prior_art,"normalized expression tables or compatible multi-table expression inputs, sample labels, and downstream network-analysis settings","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","DEGORA's benchmark contract supplies DEG evidence rows, not complete expression matrices for NetworkAnalyst's statistical workflow",cite and compare as a web workflow; not a replacement for the current public DEG-summary comparator table,workflow/resource prior art,NetworkAnalyst,Relevant for user-facing expression meta-analysis and downstream networks; orthogonal to DEGORA's source-unit evidence-card output.,ifn-pilot
crossmeta,GEO retrieval / cross-platform microarray meta-analysis package,workflow_level_raw_or_processed_expression_reanalysis,not_from_current_deg_summary_files,workflow_or_resource_prior_art,"GEO accessions, expression matrices, platform annotation, normalization, and phenotype labels","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",public DEG-only files omit the expression-level inputs crossmeta downloads and normalizes before meta-analysis,cite as an alternative expression-reanalysis workflow; not a same-input comparator,workflow/resource prior art,Bioconductor crossmeta,crossmeta avoids as-published DEG heterogeneity by returning to GEO expression data; DEGORA accepts the heterogeneity as input.,ifn-pilot
deet,uniformly processed differential-expression atlas,resource_prior_art_not_same_input,not_as_method_comparator,workflow_or_resource_prior_art,user gene list compared against a uniformly processed DEG atlas,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",DEET does not ingest arbitrary heterogeneous supplementary DEG tables to build a topic-specific source-auditable DB,cite as resource prior art; differentiate uniform precomputed atlas from DEGORA's user-built evidence database,database/resource prior art,DEET differential expression atlas,Important nearest resource prior art; not a per-corpus meta-analysis baseline under the current input contract.,ifn-pilot
creeds,crowd-extracted expression signature database,resource_prior_art_not_same_input,not_as_method_comparator,workflow_or_resource_prior_art,curated or crowd-extracted up/down signatures from GEO studies,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",CREEDS is a signature resource rather than a same-input source-unit meta-analysis method for newly collected DEG tables,cite as expression-signature database prior art; compare output philosophy and provenance limits qualitatively,database/resource prior art,CREEDS / Ma'ayan Lab expression signatures,"Closest resource-style threat to the database framing; DEGORA's differentiator is local, topic-specific, source-unit-auditable DEG evidence construction.",ifn-pilot
generic_pvalue_combiners,generic p-value combination packages,method_family_covered_by_runnable_baselines,yes_in_principle,workflow_or_resource_prior_art,"per-study p-values, optional weights, and method-specific independence/dependence assumptions","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",no missing input for basic Fisher/Stouffer-style families; package-specific variants are redundant with the covered family-level baselines,"cover by Fisher, weighted/unweighted Stouffer, AWFisher, and metaRNASeq rows rather than adding many redundant p-value packages",method-family coverage row,metapod / metap / TFisher class methods,Use this row to preempt reviewer requests for generic p-value packages; add package-specific runs only if a reviewer requests a distinct test family.,ifn-pilot
degora_slice,DEGORA reference,native_public_summary_method,yes,run_ok,"study/source-unit, gene symbol, p-value or signed z, log2FC, optional sample sizes, optional quality metadata","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,native reference output; no external comparator adaptation needed,primary method,DEGORA repository implementation,er-stress-cross-platform: public harmonized columns inspected=43.,er-stress-cross-platform
weighted_stouffer,classical p-value/z method,summary_compatible,yes,run_ok,per-study signed z and sample-size weights,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,runnable as transparent Tier 0 baseline,classical comparator,SciPy norm.sf,Uses DEGORA's conservative source-unit collapsed signed z values.,er-stress-cross-platform
fisher,classical p-value method,summary_compatible,yes,run_ok,per-study p-values,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,runnable as transparent Tier 0 baseline,classical comparator,SciPy combine_pvalues,Uses two-sided p-values recovered from signed z to avoid one-sided inflation.,er-stress-cross-platform
robustrankaggreg,rank aggregation,summary_compatible_official,yes,run_ok,within-study ranked gene lists,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official R adapter emitted when package is installed,direct prior-art comparator,CRAN/RobustRankAggreg; version=1.2.1,Does not need raw expression; ranks are reconstructed from public DEG tables.,er-stress-cross-platform
metavolcanor,p-value/effect meta-analysis,summary_compatible_official,yes,run_ok,"per-study gene, logFC, p-value tables","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official R adapter emitted when package is installed,direct prior-art comparator,Bioconductor/MetaVolcanoR; version=1.16.0,Uses MetaVolcanoR p-combination mode only; effect-size variance modes are not claimed.,er-stress-cross-platform
awfisher,adaptive weighted p-value method,summary_compatible_official,yes,run_ok,gene-by-study p-value matrix,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official AWFisher adapter emitted when package is installed,direct prior-art comparator,Bioconductor/AWFisher; version=1.16.0,Missing study-gene entries are set to p=1; AWFisher returns adaptive study-contribution weights.,er-stress-cross-platform
metarnaseq_fisher,RNA-seq p-value combination,summary_compatible_official,yes,run_ok,per-study p-value vectors,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official metaRNASeq fishercomb adapter emitted when package is installed,direct prior-art comparator,R-universe/CRAN metaRNASeq; version=1.0.8,Uses two-sided p_from_signed_z because public summary tables do not provide uniform one-sided p-values.,er-stress-cross-platform
metarnaseq_invnorm,RNA-seq inverse-normal p-value combination,summary_compatible_official,blocked_on_current_public_files,blocked:metarnaseq_invnorm_uninformative_sparse_public_summary,per-study p-value vectors and replicate-count weights,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",official inverse-normal adapter produced an uninformative or saturated rank on this public-summary corpus,blocked for this corpus after the official adapter returned an uninformative sparse public-summary result,blocked comparator row,R-universe/CRAN metaRNASeq; version=1.0.8,DEGORA marks this comparator blocked instead of reporting all-tie or floor-saturated ranks.,er-stress-cross-platform
rank_product_approx,rank aggregation approximation,summary_compatible_approximation,yes_as_approximation,run_ok,within-study normalized ranks,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",official RankProd replicate/origin inputs are not present,"keep as explicit approximation, not official RankProd",sensitivity comparator,DEGORA repository implementation,Useful because public DEG files often retain ranks but not replicate-level expression.,er-stress-cross-platform
rankprod_exact,official rank product,blocked_for_public_summary_only,no,blocked:rankprod_exact_requires_expression_or_origin_labels,replicate-level expression or rank-product inputs with class/origin labels,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",raw expression/class labels/origin metadata; current R package also unavailable if RankProd preflight is missing,do not run from public DEG-only files,blocked comparator row,Bioconductor/RankProd; version=not installed,Prevents overclaiming that summary-rank approximation is the official package.,er-stress-cross-platform
metade,microarray meta-analysis suite,partial_summary_coverage,partial,blocked:metade_effect_size_modes_require_variance_or_raw_expression,p-value matrices for p-value modes; effect sizes plus variances or raw expression for FEM/REM/effect-size modes,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",per-study effect variances and raw expression objects for non-p-value modes,p-value/rank concepts are covered by Fisher/Stouffer/AWFisher/rank baselines; effect-size modes blocked,blocked/covered comparator row,CRAN archive/MetaDE; version=not installed,Avoids double-counting MetaDE methods already represented by primitive p-value/rank comparators.,er-stress-cross-platform
dexma,gene-expression meta-analysis workflow,blocked_for_public_summary_only,no,blocked:dexma_requires_expression_matrices_and_phenotype_metadata,expression matrices or GEO-derived expression objects plus phenotype/sample metadata,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","sample-level expression matrices, phenotype metadata, normalization/QC objects",do not run from already-filtered supplementary DEG tables,blocked comparator row,Bioconductor/DExMA; version=not installed,"DExMA is relevant for a future raw-expression benchmark, not the current public summary-file benchmark.",er-stress-cross-platform
metaintegrator,signature meta-analysis,blocked_for_public_summary_only,no,blocked:metaintegrator_requires_expression_and_phenotype_objects,"study expression data, phenotype labels, effect sizes and variances","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",cohort-level expression and phenotype objects; comparable variance inputs,do not run from public DEG-only files,blocked comparator row,CRAN/MetaIntegrator; version=not installed,Useful reviewer-facing no-go row because it is a common expression-signature meta-analysis package.,er-stress-cross-platform
hstouffer,RNA-seq Stouffer/REM workflow,blocked_for_public_summary_only,no,blocked:hstouffer_deg_table_materializer_blocked,"DESeq2-like full result tables with id, baseMean, log2FoldChange, lfcSE, stat, pvalue, padj","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","harmonized table lacks original DESeq2 fields required by hStouffer REM/filtering: baseMean, lfcSE, stat; signed_z is a harmonized p-derived surrogate and is not a pinned original DESeq2 stat column; included corpus contains non-DESeq2/unspecified pipeline rows: logCPM_Welch_derived_from_public_counts, welch_microarray_normalized_matrix; source-level audit found studies without a compatible original DESeq2-like header or pipeline: ER_GSE102505_NHA_TUN_vs_DMSO, ER_GSE102505_T4213_TUN_vs_DMSO, ER_GSE102505_U251_TUN_vs_DMSO, ER_GSE19519_LCL_THAPSIGARGIN_4h, ER_GSE19519_LCL_TUNICAMYCIN_8h, ER_GSE245918_HEK293T_TUN_vs_DMSO, ER_GSE245918_OCI_AML3_TUN_vs_DMSO, ER_GSE296996_HEPG2_TUN_vs_DMSO",blocked until original compatible DESeq2-like files exist for every active source,blocked comparator row,https://github.com/CR4CKID/hStouffer@306e38c26919f19e7c3dfd6cd646005c502b3310,The feasibility JSON gives per-source header evidence.,er-stress-cross-platform
awmeta,adaptive weighted effect-size meta-analysis,blocked_for_public_summary_only,no,blocked:awmeta_variance_inputs_missing,per-study effect sizes plus original within-study variance/SE or documented equivalent weights,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","AWmeta/AW-REM requires per-study effect-size variances, standard errors, or documented equivalent weights. The harmonized as-published DEG tables provide study_id, gene_symbol, lfc, and pvalue but no uniform variance/SE field; deriving SE from p-values/signed z-scores would be a non-faithful approximation across heterogeneous DEG pipelines.",blocked; never infer SE from p-values or signed z,blocked comparator row,CRAN/metafor; version=5.0-1,The feasibility JSON gives per-source variance/SE audit evidence.,er-stress-cross-platform
gene_set_pathway_tools,pathway enrichment / gene-set methods,orthogonal_not_gene_rank_comparator,not_as_gene_level_comparator,out_of_scope,ranked full gene universe or expression matrix plus gene sets,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","these tools answer pathway-level enrichment, not gene-level cross-study ranking","report as orthogonal downstream analysis, not a replacement comparator for DEGORA gene ranking",scope guardrail,fgsea/GSEA/GSVA class methods,Include only if the manuscript adds a pathway endpoint.,er-stress-cross-platform
omicc,public expression reuse / meta-analysis platform,workflow_level_public_expression_platform,not_from_current_deg_summary_files,workflow_or_resource_prior_art,"public expression studies, sample-group annotations, expression matrices, and OMiCC platform curation","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",sample-level expression matrices and phenotype/group labels are not present in already-filtered public DEG summary tables,cite and compare qualitatively as a public-expression reuse platform; do not treat as a same-input gene-rank comparator,workflow/resource prior art,OMiCC / MetaIntegrator / RankProd public expression platform,OMiCC supports public-data reuse and meta-analysis from expression studies; DEGORA instead starts from heterogeneous as-published DEG evidence rows.,er-stress-cross-platform
imageo,GEO expression meta-analysis web workflow,workflow_level_geo_reanalysis_platform,not_from_current_deg_summary_files,workflow_or_resource_prior_art,"GEO dataset identifiers, platform expression matrices, sample labels, and GEO-derived preprocessing","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",already-filtered supplementary DEG tables do not contain the expression objects and sample metadata required by the ImaGEO workflow,cite and compare qualitatively; use as a contrast to DEGORA's as-published DEG-table operating regime,workflow/resource prior art,ImaGEO web tool,"ImaGEO is a GEO-starting workflow, while DEGORA is a summary-evidence ingestion and audit workflow.",er-stress-cross-platform
networkanalyst,statistical/visual/network expression meta-analysis platform,workflow_level_expression_or_gene_table_platform,not_as_same_input_gene_rank_comparator,workflow_or_resource_prior_art,"normalized expression tables or compatible multi-table expression inputs, sample labels, and downstream network-analysis settings","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path","DEGORA's benchmark contract supplies DEG evidence rows, not complete expression matrices for NetworkAnalyst's statistical workflow",cite and compare as a web workflow; not a replacement for the current public DEG-summary comparator table,workflow/resource prior art,NetworkAnalyst,Relevant for user-facing expression meta-analysis and downstream networks; orthogonal to DEGORA's source-unit evidence-card output.,er-stress-cross-platform
crossmeta,GEO retrieval / cross-platform microarray meta-analysis package,workflow_level_raw_or_processed_expression_reanalysis,not_from_current_deg_summary_files,workflow_or_resource_prior_art,"GEO accessions, expression matrices, platform annotation, normalization, and phenotype labels","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",public DEG-only files omit the expression-level inputs crossmeta downloads and normalizes before meta-analysis,cite as an alternative expression-reanalysis workflow; not a same-input comparator,workflow/resource prior art,Bioconductor crossmeta,crossmeta avoids as-published DEG heterogeneity by returning to GEO expression data; DEGORA accepts the heterogeneity as input.,er-stress-cross-platform
deet,uniformly processed differential-expression atlas,resource_prior_art_not_same_input,not_as_method_comparator,workflow_or_resource_prior_art,user gene list compared against a uniformly processed DEG atlas,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",DEET does not ingest arbitrary heterogeneous supplementary DEG tables to build a topic-specific source-auditable DB,cite as resource prior art; differentiate uniform precomputed atlas from DEGORA's user-built evidence database,database/resource prior art,DEET differential expression atlas,Important nearest resource prior art; not a per-corpus meta-analysis baseline under the current input contract.,er-stress-cross-platform
creeds,crowd-extracted expression signature database,resource_prior_art_not_same_input,not_as_method_comparator,workflow_or_resource_prior_art,curated or crowd-extracted up/down signatures from GEO studies,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",CREEDS is a signature resource rather than a same-input source-unit meta-analysis method for newly collected DEG tables,cite as expression-signature database prior art; compare output philosophy and provenance limits qualitatively,database/resource prior art,CREEDS / Ma'ayan Lab expression signatures,"Closest resource-style threat to the database framing; DEGORA's differentiator is local, topic-specific, source-unit-auditable DEG evidence construction.",er-stress-cross-platform
