topic,gene_symbol,expected_direction,rna_only_rank,mixed_rank,rank_delta,rna_only_top_percent,mixed_top_percent,top_percent_delta,rna_only_direction,mixed_direction,rna_only_source_units,mixed_source_units,rna_only_reliability,mixed_reliability
IFN,ISG15,up,21.0,24.0,-3.0,0.212982,0.187838,0.025144,up,up,2,3,93.054586,94.568609
IFN,RSAD2,up,1.0,2.0,-1.0,0.010142,0.015653,-0.005511,up,up,2,3,93.053406,94.57046
IFN,CMPK2,up,2.0,1.0,1.0,0.020284,0.007827,0.012457,up,up,2,3,93.035701,94.57231
IFN,MX1,up,3.0,13.0,-10.0,0.030426,0.101745,-0.071319,up,up,2,3,93.049866,94.564907
IFN,MX2,up,29.0,11.0,18.0,0.294118,0.086092,0.208026,up,up,2,3,91.254254,94.542687
IFN,IFIT1,up,5.0,4.0,1.0,0.05071,0.031306,0.019403999999999998,up,up,2,3,93.056946,94.566758
IFN,IFIT2,up,34.0,22.0,12.0,0.344828,0.172184,0.17264400000000002,up,up,2,3,93.045145,94.57231
IFN,IFIT3,up,6.0,16.0,-10.0,0.060852,0.125225,-0.064373,up,up,2,3,93.029797,94.57046
IFN,OAS1,up,10.0,19.0,-9.0,0.10142,0.148705,-0.04728500000000001,up,up,2,3,93.049866,94.57046
IFN,OAS2,up,18.0,7.0,11.0,0.182556,0.054786,0.12777,up,up,2,3,93.048686,94.568609
IFN,OAS3,up,14.0,8.0,6.0,0.141988,0.062613,0.079375,up,up,2,3,93.047506,94.566758
IFN,OASL,up,8.0,5.0,3.0,0.081136,0.039133,0.042003,up,up,2,3,93.040423,94.57231
IFN,IFI44,up,23.0,20.0,3.0,0.233266,0.156531,0.076735,up,up,2,3,93.046325,94.57231
IFN,IFI44L,up,26.0,3.0,23.0,0.263692,0.02348,0.24021199999999998,up,up,2,3,93.051046,94.57231
IFN,IFI6,up,22.0,9.0,13.0,0.223124,0.070439,0.152685,up,up,2,3,93.059306,94.574161
IFN,IFITM1,up,17.0,21.0,-4.0,0.172414,0.164358,0.008056000000000008,up,up,2,3,93.030978,94.563056
IFN,USP18,up,33.0,12.0,21.0,0.334686,0.093919,0.24076699999999998,up,up,2,3,93.026254,94.57231
IFN,IFIH1,up,9.0,14.0,-5.0,0.091278,0.109572,-0.018294000000000005,up,up,2,3,93.048686,94.57231
IFN,HERC5,up,11.0,10.0,1.0,0.111562,0.078266,0.03329599999999999,up,up,2,3,93.047506,94.57231
IFN,STAT1,up,35.0,66.0,-31.0,0.35497,0.516553,-0.16158300000000003,up,up,2,3,93.059306,94.520451
IFN,IFI27,up,42.0,6.0,36.0,0.425963,0.046959,0.379004,up,up,2,3,93.047506,94.574161
IFN,BST2,up,37.0,38.0,-1.0,0.375254,0.297409,0.077845,up,up,2,3,93.059306,94.557502
IFN,ISG20,up,89.0,57.0,32.0,0.902637,0.446114,0.456523,up,up,2,3,93.030978,94.559354
IFN,IRF9,up,59.0,73.0,-14.0,0.598377,0.571339,0.027038000000000006,up,up,2,3,93.052226,94.542687
IFN,STAT2,up,66.0,59.0,7.0,0.669371,0.461767,0.20760400000000007,up,up,2,3,93.047506,94.568609
IFN,EIF2AK2,up,48.0,27.0,21.0,0.486815,0.211317,0.275498,up,up,2,3,93.052226,94.574161
ER stress,HSPA5,up,1.0,2.0,-1.0,0.008396,0.014046,-0.005649999999999999,up,up,3,4,94.574161,95.540924
ER stress,DDIT3,up,10.0,1.0,9.0,0.083963,0.007023,0.07694,up,up,3,4,94.558275,95.54344
ER stress,ATF4,up,1181.0,251.0,930.0,9.916037,1.762764,8.153272999999999,up,up,3,4,82.81995,90.255309
ER stress,ATF3,up,144.0,77.0,67.0,1.209068,0.540768,0.6683,up,up,3,4,94.023444,95.509872
ER stress,HERPUD1,up,6.0,3.0,3.0,0.050378,0.021069,0.029308999999999998,up,up,3,4,94.574161,95.535891
ER stress,TRIB3,up,22.0,5.0,17.0,0.184719,0.035115,0.149604,up,up,3,4,94.560262,95.542602
ER stress,DDIT4,up,2436.0,686.0,1750.0,20.453401,4.817754,15.635646999999999,up,up,3,4,93.347479,95.333052
ER stress,ASNS,up,53.0,23.0,30.0,0.445004,0.161528,0.283476,up,up,3,4,94.48271,95.540924
ER stress,CHAC1,up,176.0,40.0,136.0,1.47775,0.280919,1.196831,up,up,2,3,82.494099,86.749104
ER stress,PPP1R15A,up,30.0,29.0,1.0,0.251889,0.203666,0.04822299999999996,up,up,3,4,94.568205,95.544279
ER stress,ATF6,up,811.0,618.0,193.0,6.809404,4.340192,2.4692119999999997,up,up,3,4,93.970872,95.164582
ER stress,XBP1,up,8761.0,2775.0,5986.0,73.560034,19.488728,54.07130600000001,up,up,3,4,76.130515,87.392417
ER stress,DNAJB9,up,25.0,12.0,13.0,0.209908,0.084276,0.12563200000000002,up,up,3,4,94.532444,95.539246
ER stress,DNAJB11,up,12.0,17.0,-5.0,0.100756,0.11939,-0.018633999999999998,up,up,3,4,94.568205,95.540085
ER stress,DNAJC3,up,21.0,24.0,-3.0,0.176322,0.168551,0.007771,up,up,3,4,94.546356,95.544279
ER stress,PDIA4,up,5.0,6.0,-1.0,0.041982,0.042138,-0.00015600000000000336,up,up,3,4,94.57019,95.532534
ER stress,PDIA6,up,44.0,50.0,-6.0,0.369437,0.351148,0.018289,up,up,3,4,94.566219,95.519946
ER stress,HSP90B1,up,4.0,13.0,-9.0,0.033585,0.091299,-0.05771400000000001,up,up,3,4,94.572176,95.525821
ER stress,HYOU1,up,7.0,4.0,3.0,0.058774,0.028092,0.030682,up,up,3,4,94.572176,95.538407
ER stress,MANF,up,11.0,9.0,2.0,0.092359,0.063207,0.029151999999999997,up,up,3,4,94.560262,95.538407
ER stress,CRELD2,up,8.0,11.0,-3.0,0.06717,0.077253,-0.010083000000000009,up,up,3,4,94.562248,95.53673
ER stress,SDF2L1,up,18.0,16.0,2.0,0.151134,0.112367,0.038766999999999996,up,up,3,4,94.554303,95.541763
ER stress,EDEM1,up,137.0,48.0,89.0,1.150294,0.337102,0.8131919999999999,up,up,3,4,94.114224,95.534213
ER stress,SEL1L,up,20.0,7.0,13.0,0.167926,0.049161,0.11876499999999998,up,up,3,4,94.560262,95.53673
ER stress,SERP1,up,51.0,61.0,-10.0,0.428212,0.428401,-0.00018899999999999473,up,up,3,4,94.542382,95.540924
ER stress,WFS1,up,6742.0,2183.0,4559.0,56.607893,15.331133,41.276759999999996,up,up,3,4,78.916616,90.359407
ER stress,ERO1A,up,5892.0,5803.0,89.0,49.471033,40.754266,8.716766999999997,up,up,3,4,86.316817,89.260687
ER stress,STC2,up,1384.0,275.0,1109.0,11.620487,1.931315,9.689172000000001,up,up,3,4,87.272187,90.154045
ER stress,CEBPG,up,194.0,69.0,125.0,1.628883,0.484585,1.144298,up,up,3,4,94.371019,95.534213
ER stress,PSAT1,up,347.0,80.0,267.0,2.913518,0.561837,2.3516809999999997,up,up,3,4,94.122281,95.541763
ER stress,MTHFD2,up,182.0,82.0,100.0,1.528128,0.575883,0.9522449999999999,up,up,3,4,94.220808,95.519946
ER stress,DERL3,up,74.0,64.0,10.0,0.621327,0.44947,0.17185699999999998,up,up,2,3,82.565296,86.746057
Hypoxia,VEGFA,up,10.0,9.0,1.0,0.030593,0.025873,0.0047199999999999985,up,up,14,16,97.172375,97.501241
Hypoxia,SLC2A1,up,17.0,20.0,-3.0,0.052008,0.057496,-0.005488,up,up,15,17,96.074735,94.970634
Hypoxia,SLC2A3,up,23.0,19.0,4.0,0.070364,0.054621,0.015742999999999993,up,up,15,17,96.07547,96.513991
Hypoxia,HK2,up,8.0,8.0,0.0,0.024475,0.022998,0.0014769999999999991,up,up,15,17,96.91937,97.256265
Hypoxia,PGK1,up,27.0,23.0,4.0,0.082602,0.06612,0.016481999999999997,up,up,15,17,96.918629,97.256964
Hypoxia,LDHA,up,34.0,30.0,4.0,0.104017,0.086244,0.017772999999999997,up,up,15,17,98.495812,98.656705
Hypoxia,ALDOA,up,46.0,45.0,1.0,0.140729,0.129366,0.011362999999999984,up,up,15,17,98.495059,98.656705
Hypoxia,ALDOC,up,40.0,36.0,4.0,0.122373,0.103493,0.018879999999999994,up,up,14,16,95.281015,95.858305
Hypoxia,ENO1,up,67.0,64.0,3.0,0.204974,0.183987,0.020986999999999978,up,up,15,17,95.26129,95.794037
Hypoxia,PFKFB3,up,20.0,22.0,-2.0,0.061186,0.063246,-0.0020599999999999993,up,up,15,17,93.513348,94.26016
Hypoxia,PFKFB4,up,4.0,5.0,-1.0,0.012237,0.014374,-0.002137,up,up,15,17,97.746227,97.990026
Hypoxia,PDK1,up,28.0,21.0,7.0,0.085661,0.060371,0.02529,up,up,15,17,96.917888,97.256964
Hypoxia,CA9,up,55.0,52.0,3.0,0.168263,0.14949,0.018772999999999984,up,up,10,12,86.129143,88.108278
Hypoxia,ADM,up,9.0,7.0,2.0,0.027534,0.020124,0.00741,up,up,14,16,95.509965,96.034639
Hypoxia,EPO,up,25069.0,25860.0,-791.0,76.694099,74.342389,2.351709999999997,up,up,6,8,72.822091,74.447705
Hypoxia,ANGPTL4,up,3.0,2.0,1.0,0.009178,0.00575,0.0034280000000000005,up,up,13,15,95.739597,96.259702
Hypoxia,EGLN3,up,1.0,1.0,0.0,0.003059,0.002875,0.00018400000000000014,up,up,15,17,96.074735,96.516072
Hypoxia,EGLN1,up,35.0,38.0,-3.0,0.107076,0.109242,-0.0021660000000000013,up,up,15,17,98.495059,98.655996
Hypoxia,NDRG1,up,2.0,3.0,-1.0,0.006119,0.008624,-0.0025049999999999994,up,up,15,17,96.07547,96.516072
Hypoxia,BNIP3,up,32.0,25.0,7.0,0.097898,0.07187,0.026027999999999996,up,up,15,17,95.148349,95.709356
Hypoxia,BNIP3L,up,13.0,13.0,0.0,0.039771,0.037372,0.0023989999999999984,up,up,15,17,98.494305,98.656705
Hypoxia,DDIT4,up,39.0,43.0,-4.0,0.119313,0.123617,-0.004304000000000002,up,up,15,17,95.26129,94.26016
Hypoxia,P4HA1,up,14.0,14.0,0.0,0.04283,0.040247,0.002583000000000002,up,up,15,17,97.746227,97.989322
Hypoxia,P4HA2,up,45.0,47.0,-2.0,0.137669,0.135116,0.0025529999999999997,up,up,14,16,95.510696,96.033949
Hypoxia,PLOD2,up,36.0,32.0,4.0,0.110136,0.091994,0.01814199999999999,up,up,14,16,97.171631,97.501942
Hypoxia,KDM3A,up,31.0,29.0,2.0,0.094839,0.083369,0.011470000000000008,up,up,15,17,96.918629,97.256964
Hypoxia,KDM4B,up,62.0,58.0,4.0,0.189678,0.166739,0.022939000000000015,up,up,15,17,96.917888,97.256964
Hypoxia,MXI1,up,11.0,12.0,-1.0,0.033653,0.034498,-0.0008449999999999985,up,up,15,17,96.918629,97.256964
Hypoxia,BHLHE40,up,25.0,26.0,-1.0,0.076483,0.074745,0.0017379999999999896,up,up,15,17,96.917888,97.255566
Hypoxia,FLT1,up,2513.0,2052.0,461.0,7.688072,5.899094,1.7889780000000002,up,up,13,15,89.481045,88.979247
Hypoxia,HK1,up,376.0,377.0,-1.0,1.150304,1.0838,0.0665039999999999,up,up,15,17,96.911957,97.257663
Hypoxia,PFKL,up,162.0,161.0,1.0,0.49561,0.462843,0.03276699999999999,up,up,15,17,93.501187,94.24864
Hypoxia,ANGPT2,up,6737.0,7273.0,-536.0,20.61064,20.908438,-0.29779800000000023,up,up,13,15,83.222194,83.27192
