corpus,method_id,setting_id,run_status,n_rows,n_gold,n_recovered_at_10,recall_at_10,recall_at_10_ci_low,recall_at_10_ci_high,precision_at_10,hypergeom_p_at_10,hypergeom_fdr_at_10,n_recovered_at_20,recall_at_20,recall_at_20_ci_low,recall_at_20_ci_high,precision_at_20,hypergeom_p_at_20,hypergeom_fdr_at_20,n_recovered_at_50,recall_at_50,recall_at_50_ci_low,recall_at_50_ci_high,precision_at_50,hypergeom_p_at_50,hypergeom_fdr_at_50,n_recovered_at_100,recall_at_100,recall_at_100_ci_low,recall_at_100_ci_high,precision_at_100,hypergeom_p_at_100,hypergeom_fdr_at_100,recall_at_max_k,recall_at_max_k_ci_low,recall_at_max_k_ci_high,precision_at_max_k,hypergeom_p_at_max_k,hypergeom_fdr_at_max_k,background_auroc,background_auroc_se,background_auroc_ci_low,background_auroc_ci_high,background_auprc,background_prevalence,background_auprc_enrichment,direction_recall_at_10,direction_recall_at_20,direction_recall_at_50,direction_recall_at_100,direction_recall_at_max_k,aurc_at_max_k,direction_aurc_at_max_k,top10,failure_mode
er-stress-cross-platform,awfisher,default,ok,14239,32,4,0.125,0.03513065310331141,0.2899484201907564,0.4,4.3692985627499016e-09,4.7665075229998925e-09,7,0.21875,0.09277153228453476,0.39972826371210757,0.35,1.0877711772081705e-14,1.3053254126498046e-14,15,0.46875,0.29093982290600506,0.652563190713673,0.3,8.042632541587884e-30,8.77378095445951e-30,21,0.65625,0.468068963719731,0.8142809082834375,0.21,7.708411593978073e-39,8.409176284339716e-39,0.9375,0.7919305701049926,0.9923392636535437,0.03,7.148322082381147e-33,1.4296644164762294e-32,0.9757205954811008,0.013589953218765475,0.9490842871723205,1.0,0.2577086200328816,0.0022473488306763117,114.67228252025627,0.125,0.21875,0.46875,0.65625,0.9375,0.8175625,0.8175625,TRIB3;CEBPB;NFE2L1;CTH;ASNS;DDIT3;SEL1L;SLC3A2;SLC38A2;PCK2,
er-stress-cross-platform,degora_deg_score,v1_2_source_unit_mean,ok,14239,32,6,0.1875,0.0720761654583286,0.3643923098640918,0.6,1.6354239564412075e-14,4.9062718693236225e-14,13,0.40625,0.2369841005518247,0.5935507534235251,0.65,1.6899116394395299e-31,1.013946983663718e-30,19,0.59375,0.40644924657647485,0.7630158994481753,0.38,1.5354945977540754e-40,9.212967586524452e-40,25,0.78125,0.6002717362878924,0.9072284677154653,0.25,1.8163085139481918e-49,1.089785108368915e-48,0.90625,0.7497730493161467,0.9802328198266976,0.029,9.770362492895819e-31,1.1724434991474981e-30,0.9783161469698036,0.012664323156590723,0.9534940735828858,1.0,0.49027467007842956,0.0022473488306763117,218.15690710146117,0.1875,0.40625,0.59375,0.78125,0.90625,0.840375,0.840375,DDIT3;HSPA5;TRIB3;HERPUD1;SLC6A9;CCPG1;DNAJB9;SEL1L;CTH;SLC3A2,
er-stress-cross-platform,degora_quality_weighted_score,quality_weighted_secondary,ok,14239,32,8,0.25,0.11461600510260381,0.43404937492227846,0.8,1.1282198709805068e-20,1.3538638451766082e-19,13,0.40625,0.2369841005518247,0.5935507534235251,0.65,1.6899116394395299e-31,1.013946983663718e-30,19,0.59375,0.40644924657647485,0.7630158994481753,0.38,1.5354945977540754e-40,9.212967586524452e-40,25,0.78125,0.6002717362878924,0.9072284677154653,0.25,1.8163085139481918e-49,1.089785108368915e-48,0.90625,0.7497730493161467,0.9802328198266976,0.029,9.770362492895819e-31,1.1724434991474981e-30,0.9718096712888012,0.0143592441091782,0.943665552834812,0.9999537897427905,0.5332773258268306,0.0022473488306763117,237.2917450765075,0.25,0.40625,0.59375,0.78125,0.90625,0.8264375,0.8264375,DDIT3;HSPA5;HERPUD1;HYOU1;TRIB3;PDIA4;SEL1L;SLC6A9;MANF;CCPG1,
er-stress-cross-platform,degora_slice,locked,ok,14239,32,5,0.15625,0.052750564402132175,0.32787876568204183,0.5,1.0329083046635934e-11,1.7706999508518745e-11,8,0.25,0.11461600510260381,0.43404937492227846,0.4,3.111223368634857e-17,5.333525774802612e-17,18,0.5625,0.3766257315900935,0.7363618755890152,0.36,9.2338495696056e-38,2.216123896705344e-37,24,0.75,0.5659506250777215,0.8853839948973963,0.24,1.0557393672967276e-46,2.533774481512146e-46,0.9375,0.7919305701049926,0.9923392636535437,0.03,7.148322082381147e-33,1.4296644164762294e-32,0.9781005842190469,0.010945986333998152,0.9566464510044105,0.9995547174336833,0.3681451254577666,0.0022473488306763117,163.81307629353557,0.15625,0.25,0.5625,0.75,0.9375,0.81325,0.81325,TRIB3;DDIT3;SEL1L;SLC3A2;CEBPB;NFE2L1;ASNS;PCK2;CTH;HSPA5,
er-stress-cross-platform,fisher,default,ok,14239,32,4,0.125,0.03513065310331141,0.2899484201907564,0.4,4.3692985627499016e-09,4.7665075229998925e-09,7,0.21875,0.09277153228453476,0.39972826371210757,0.35,1.0877711772081705e-14,1.3053254126498046e-14,15,0.46875,0.29093982290600506,0.652563190713673,0.3,8.042632541587884e-30,8.77378095445951e-30,21,0.65625,0.468068963719731,0.8142809082834375,0.21,7.708411593978073e-39,8.409176284339716e-39,0.9375,0.7919305701049926,0.9923392636535437,0.03,7.148322082381147e-33,1.4296644164762294e-32,0.9770975575420567,0.012952451333499931,0.9517107529283969,1.0,0.2668637358729654,0.0022473488306763117,118.74602297172356,0.125,0.21875,0.46875,0.65625,0.9375,0.822875,0.822875,TRIB3;CEBPB;NFE2L1;ASNS;CTH;DDIT3;SEL1L;SLC3A2;PCK2;SLC38A2,
er-stress-cross-platform,metarnaseq_fisher,default,ok,14239,32,4,0.125,0.03513065310331141,0.2899484201907564,0.4,4.3692985627499016e-09,4.7665075229998925e-09,6,0.1875,0.0720761654583286,0.3643923098640918,0.3,2.9715822088486897e-12,3.241726046016752e-12,15,0.46875,0.29093982290600506,0.652563190713673,0.3,8.042632541587884e-30,8.77378095445951e-30,21,0.65625,0.468068963719731,0.8142809082834375,0.21,7.708411593978073e-39,8.409176284339716e-39,0.9375,0.7919305701049926,0.9923392636535437,0.03,7.148322082381147e-33,1.4296644164762294e-32,0.9778278313507427,0.012224497519072487,0.9538678162133606,1.0,0.26486933338145136,0.0022473488306763117,117.85857618807768,0.125,0.1875,0.46875,0.65625,0.9375,0.82203125,0.82203125,TRIB3;CEBPB;NFE2L1;ASNS;CTH;DDIT3;SEL1L;SLC3A2;PCK2;SLC38A2,
er-stress-cross-platform,metavolcanor,default,ok,14239,32,4,0.125,0.03513065310331141,0.2899484201907564,0.4,4.3692985627499016e-09,4.7665075229998925e-09,7,0.21875,0.09277153228453476,0.39972826371210757,0.35,1.0877711772081705e-14,1.3053254126498046e-14,15,0.46875,0.29093982290600506,0.652563190713673,0.3,8.042632541587884e-30,8.77378095445951e-30,21,0.65625,0.468068963719731,0.8142809082834375,0.21,7.708411593978073e-39,8.409176284339716e-39,0.9375,0.7919305701049926,0.9923392636535437,0.03,7.148322082381147e-33,1.4296644164762294e-32,0.9770975575420567,0.012952451333499931,0.9517107529283969,1.0,0.2668637358729654,0.0022473488306763117,118.74602297172356,0.125,0.21875,0.46875,0.65625,0.9375,0.822875,0.822875,TRIB3;CEBPB;NFE2L1;ASNS;CTH;DDIT3;SEL1L;SLC3A2;PCK2;SLC38A2,
er-stress-cross-platform,rank_product_approx,default,ok,14239,32,7,0.21875,0.09277153228453476,0.39972826371210757,0.7,1.7099653188443652e-17,1.0259791913066191e-16,11,0.34375,0.18571909171656248,0.5319310362802689,0.55,1.7585074707688435e-25,7.034029883075374e-25,16,0.5,0.318874964234164,0.681125035765836,0.32,2.1094736921276545e-32,3.616240615075979e-32,22,0.6875,0.49992241836803114,0.8388152759117703,0.22,2.15416231296341e-41,3.692849679365845e-41,0.875,0.7100515798092436,0.9648693468966886,0.028,9.672952121094611e-29,1.0552311404830484e-28,0.9665921728725276,0.01873749025844987,0.9298666919659659,1.0,0.3927823931494857,0.0022473488306763117,174.7758905017352,0.21875,0.34375,0.5,0.6875,0.875,0.8179375,0.8179375,HSPA5;TRIB3;CPB2;SLC3A2;HERPUD1;CALR;HSP90B1;PDIA4;SEL1L;DNAJB11,
er-stress-cross-platform,robustrankaggreg,default,ok,14239,32,6,0.1875,0.0720761654583286,0.3643923098640918,0.6,1.6354239564412075e-14,4.9062718693236225e-14,10,0.3125,0.16118472408822931,0.5000775816319688,0.5,1.2487385698102178e-22,2.9969725675445227e-22,16,0.5,0.318874964234164,0.681125035765836,0.32,2.1094736921276545e-32,3.616240615075979e-32,22,0.6875,0.49992241836803114,0.8388152759117703,0.22,2.15416231296341e-41,3.692849679365845e-41,0.90625,0.7497730493161467,0.9802328198266976,0.029,9.770362492895819e-31,1.1724434991474981e-30,0.9452734567466741,0.031917375853431594,0.8827154000739481,1.0,0.3402936839186792,0.0022473488306763117,151.42005516618977,0.1875,0.3125,0.5,0.6875,0.90625,0.80153125,0.80153125,HSPA5;CALR;HERPUD1;HYOU1;SLC33A1;FDFT1;PDIA4;CRELD2;TTC17;HSP90B1,
er-stress-cross-platform,sign_vote,default,ok,14239,32,0,0.0,0.0,0.10888116067944287,0.0,1.0,1.0,0,0.0,0.0,0.10888116067944287,0.0,1.0,1.0,0,0.0,0.0,0.10888116067944287,0.0,1.0,1.0,0,0.0,0.0,0.10888116067944287,0.0,1.0,1.0,0.46875,0.29093982290600506,0.652563190713673,0.015,8.186574472801738e-10,8.186574472801738e-10,0.8546975082705708,0.030876841683046986,0.7941788985717987,0.9152161179693429,0.011729721013953684,0.0022473488306763117,5.219359297427703,0.0,0.0,0.0,0.0,0.46875,0.2041875,0.2041875,AACS;AAK1;AAR2;ABCA3;ABCA5;ABCB7;ABCD3;ABHD11;ABHD17B;ABHD2,
er-stress-cross-platform,unweighted_stouffer,default,ok,14239,32,5,0.15625,0.052750564402132175,0.32787876568204183,0.5,1.0329083046635934e-11,1.7706999508518745e-11,10,0.3125,0.16118472408822931,0.5000775816319688,0.5,1.2487385698102178e-22,2.9969725675445227e-22,18,0.5625,0.3766257315900935,0.7363618755890152,0.36,9.2338495696056e-38,2.216123896705344e-37,24,0.75,0.5659506250777215,0.8853839948973963,0.24,1.0557393672967276e-46,2.533774481512146e-46,0.90625,0.7497730493161467,0.9802328198266976,0.029,9.770362492895819e-31,1.1724434991474981e-30,0.9784283275849932,0.01097453782833268,0.9569182334414612,0.9999384217285252,0.4067046196091792,0.0022473488306763117,180.97084620672194,0.15625,0.3125,0.5625,0.75,0.90625,0.819,0.819,TRIB3;DDIT3;SEL1L;SLC3A2;HSPA5;PCK2;ASNS;NFE2L1;CEBPB;CTH,
er-stress-cross-platform,weighted_stouffer,default,ok,14239,32,5,0.15625,0.052750564402132175,0.32787876568204183,0.5,1.0329083046635934e-11,1.7706999508518745e-11,8,0.25,0.11461600510260381,0.43404937492227846,0.4,3.111223368634857e-17,5.333525774802612e-17,18,0.5625,0.3766257315900935,0.7363618755890152,0.36,9.2338495696056e-38,2.216123896705344e-37,24,0.75,0.5659506250777215,0.8853839948973963,0.24,1.0557393672967276e-46,2.533774481512146e-46,0.9375,0.7919305701049926,0.9923392636535437,0.03,7.148322082381147e-33,1.4296644164762294e-32,0.9781005842190469,0.010945986333998152,0.9566464510044105,0.9995547174336833,0.3681451254577666,0.0022473488306763117,163.81307629353557,0.15625,0.25,0.5625,0.75,0.9375,0.81325,0.81325,TRIB3;DDIT3;SEL1L;SLC3A2;CEBPB;NFE2L1;ASNS;PCK2;CTH;HSPA5,
er-stress-cross-platform,metarnaseq_invnorm,default,blocked,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metarnaseq_invnorm_uninformative_sparse_public_summary
er-stress-cross-platform,rankprod_exact,default,blocked,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rankprod_exact_requires_expression_or_origin_labels
er-stress-cross-platform,metade,default,blocked,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metade_effect_size_modes_require_variance_or_raw_expression
er-stress-cross-platform,dexma,default,blocked,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dexma_requires_expression_matrices_and_phenotype_metadata
er-stress-cross-platform,metaintegrator,default,blocked,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metaintegrator_requires_expression_and_phenotype_objects
er-stress-cross-platform,hstouffer,default,blocked,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hstouffer_deg_table_materializer_blocked
er-stress-cross-platform,awmeta,default,blocked,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awmeta_variance_inputs_missing
