metric,cutoff,denominator,n_recovered,recall,recovered_genes,missing_genes,criteria
locked_membership_recall,10,20,7,0.35,IFIH1;IFIT1;IFIT3;MX1;OAS1;OASL;RSAD2,DDX58;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;OAS2;OAS3;STAT1;STAT2,gene is in locked gold panel
locked_direction_recall,10,20,7,0.35,IFIH1;IFIT1;IFIT3;MX1;OAS1;OASL;RSAD2,DDX58;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;OAS2;OAS3;STAT1;STAT2,locked gold gene is recovered with expected direction when declared
locked_source_supported_recall,10,20,7,0.35,IFIH1;IFIT1;IFIT3;MX1;OAS1;OASL;RSAD2,DDX58;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;OAS2;OAS3;STAT1;STAT2,locked direction match plus n_source_units>=2 and sign_concordance>=1.0
known_or_locked_marker_coverage,10,23,9,0.391304347826087,CMPK2;IFIH1;IFIT1;IFIT3;MX1;OAS1;OASL;RSAD2;TAP1,DDX58;GBP1;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;OAS2;OAS3;STAT1;STAT2,locked gold plus interpretive marker panel; not a locked validation metric
known_or_locked_marker_source_supported,10,23,9,0.391304347826087,CMPK2;IFIH1;IFIT1;IFIT3;MX1;OAS1;OASL;RSAD2;TAP1,DDX58;GBP1;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;OAS2;OAS3;STAT1;STAT2,known/locked marker recovered with direction/source support; interpretive only
locked_membership_recall,20,20,9,0.45,IFIH1;IFIT1;IFIT3;MX1;OAS1;OAS2;OAS3;OASL;RSAD2,DDX58;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;STAT1;STAT2,gene is in locked gold panel
locked_direction_recall,20,20,9,0.45,IFIH1;IFIT1;IFIT3;MX1;OAS1;OAS2;OAS3;OASL;RSAD2,DDX58;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;STAT1;STAT2,locked gold gene is recovered with expected direction when declared
locked_source_supported_recall,20,20,9,0.45,IFIH1;IFIT1;IFIT3;MX1;OAS1;OAS2;OAS3;OASL;RSAD2,DDX58;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;STAT1;STAT2,locked direction match plus n_source_units>=2 and sign_concordance>=1.0
known_or_locked_marker_coverage,20,23,12,0.5217391304347826,CMPK2;GBP1;IFIH1;IFIT1;IFIT3;MX1;OAS1;OAS2;OAS3;OASL;RSAD2;TAP1,DDX58;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;STAT1;STAT2,locked gold plus interpretive marker panel; not a locked validation metric
known_or_locked_marker_source_supported,20,23,12,0.5217391304347826,CMPK2;GBP1;IFIH1;IFIT1;IFIT3;MX1;OAS1;OAS2;OAS3;OASL;RSAD2;TAP1,DDX58;IFI27;IFI44;IFI44L;IFI6;IFIT2;IRF7;ISG15;MX2;STAT1;STAT2,known/locked marker recovered with direction/source support; interpretive only
locked_membership_recall,50,20,17,0.85,IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1,DDX58;IRF7;STAT2,gene is in locked gold panel
locked_direction_recall,50,20,17,0.85,IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1,DDX58;IRF7;STAT2,locked gold gene is recovered with expected direction when declared
locked_source_supported_recall,50,20,17,0.85,IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1,DDX58;IRF7;STAT2,locked direction match plus n_source_units>=2 and sign_concordance>=1.0
known_or_locked_marker_coverage,50,23,20,0.8695652173913043,CMPK2;GBP1;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;TAP1,DDX58;IRF7;STAT2,locked gold plus interpretive marker panel; not a locked validation metric
known_or_locked_marker_source_supported,50,23,20,0.8695652173913043,CMPK2;GBP1;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;TAP1,DDX58;IRF7;STAT2,known/locked marker recovered with direction/source support; interpretive only
locked_membership_recall,100,20,18,0.9,IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2,DDX58;IRF7,gene is in locked gold panel
locked_direction_recall,100,20,18,0.9,IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2,DDX58;IRF7,locked gold gene is recovered with expected direction when declared
locked_source_supported_recall,100,20,18,0.9,IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2,DDX58;IRF7,locked direction match plus n_source_units>=2 and sign_concordance>=1.0
known_or_locked_marker_coverage,100,23,21,0.9130434782608695,CMPK2;GBP1;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;TAP1,DDX58;IRF7,locked gold plus interpretive marker panel; not a locked validation metric
known_or_locked_marker_source_supported,100,23,21,0.9130434782608695,CMPK2;GBP1;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;TAP1,DDX58;IRF7,known/locked marker recovered with direction/source support; interpretive only
